createdAtTimestamp,id,token0.name,token0.symbol,token1.name,token1.symbol,token00.id,token00.name,token00.symbol,token00.txCount,token00_creator_address,txCount,Liq_Eth,Liq_Tok
2020-05-31,0x7cd2c6680471029fa51f6c7169daba7dfb70e9cf,Wrapped Ether,WETH,KickToken,KICK,0xc12d1c73ee7dc3615ba4e37e4abfdbddfa38907e,KickToken,KICK,12553,0x3f5aa308d0d27fd80479dbcd1012c8254da45820,11277,52999873.23,4.483405433
2020-05-31,0x4133b6b9b0d250cfc0afe26c00bacfd2b59590b8,Proof of Nature Token,PoN,Wrapped Ether,WETH,0x19ddc3605052554a1ac2b174ae745c911456841f,Proof of Nature Token,PoN,8,0x8458beb2f72f12d05814d825de9beb5c33f97125,8,3.89e-12,1e-18
2020-05-31,0x42c3bd4fedc5e8cd4732118a9718a8e469959e79,AURIcoin,RIC,Wrapped Ether,WETH,0x08e0faff8bb80eaf8c30a99920355028b5bd6789,AURIcoin,RIC,557,0x9b2122dfd3ec7bfa64f5d545a1e3923576ac75e9,557,23724660.39,0.033407293
2020-05-31,0xe8ed61c120aa4395ab5efefaf5dd545b3790635a,Wrapped Ether,WETH,Coin Fella Token,CFT,0xf989e16233ad1ad0f2af739547ef92745341f52b,Coin Fella Token,CFT,503,0xd490b78742a9aacfb61a8433d8b2b9aa6f5fe8fc,503,2909.168655,0.008674522
2020-05-31,0x46836bb2551b23c5aad4775b7e04c18c0fdf0f4b,NEST,NEST,Wrapped Ether,WETH,0x04abeda201850ac0124161f037efd70c74ddc74c,NEST,NEST,3291,0xa38afc5c1e33f85b06d4b8c2b4312c1dc1054882,3288,79430.7625,0.235236521
2020-05-30,0xbbb68aa436d5f636981c581bbda279e48ed17b22,Wrapped Ether,WETH,Pamp Network,PAMP,0xce833222051740aa5427d089a46ff3918763107f,Pamp Network,PAMP,3474,0x6376ffc4e4a1e3d0b6b67e0c5f22afb7690ab7cd,3474,1.0,1e-18
2020-05-30,0x034ac58393ecc9a687ce56527d617ac5661d3e97,TRONCLASSIC,TRXC,Wrapped Ether,WETH,0xad5fe5b0b8ec8ff4565204990e4405b2da117d8e,TRONCLASSIC,TRXC,5463,0xc8d9af16b77d45cfaa0def4f530522a371a3a66f,5173,3038455803.0,0.349365623
2020-05-30,0x9c8939c04a18ee5195223d531f2da453d23762c6,Kappi Token,KAPP,Wrapped Ether,WETH,0x2439c0549f1616dab533c8af5d42a77331173b3a,Kappi Token,KAPP,60,0x345195afa4a2abb1698806e97431ab19c197f43d,60,6935508.182,0.011835982
2020-05-30,0xe62c7506656c3eb03ddec1cc97a82489688ebe75,ACO ETH-220USDC-C-26JUN20-0800UTC,ACO ETH-220USDC-C-26JUN20-0800UTC,Wrapped Ether,WETH,0x4737bf0ba662e918c200e25ae2ecb04d42662455,ACO ETH-220USDC-C-26JUN20-0800UTC,ACO ETH-220USDC-C-26JUN20-0800UTC,3,0x176b98ab38d1ae8ff3f30bf07f9b93e26f559c17,3,3.16e-15,3.17e-16
2020-05-30,0xb04056137f8f0305b8903822dc301dd5a1288391,Tripterium T10,T10,Wrapped Ether,WETH,0x89c60b92cc4615dacfb68db945eca7b60444c96f,Tripterium T10,T10,200,0x9ee2de675d23e0da11c01947088804a7ba10cf7f,68,46.54246304,0.002473808
2020-05-30,0xedaedd22e653c504ff6806bf61664292848eb26e,Wrapped Ether,WETH,HEX2T,HEX2T,0xed1199093b1abd07a368dd1c0cdc77d8517ba2a0,HEX2T,HEX2T,106667,0xe8b283b606a212d82036f74f88177375125440f6,101591,1665162386.0,0.205343213
2020-05-30,0x4d136871d5617019dfdb339a2cd7cb5a0b75e7f3,The Tokenized Bitcoin,imBTC,Wrapped Ether,WETH,0x3212b29e33587a00fb1c83346f5dbfa69a458923,The Tokenized Bitcoin,imBTC,481,0xe9e722b0f4542a850f95ffccc634c8720d1e0d76,481,26.42461882,380.5275422
2020-05-29,0x8634c95b4fd6fa3f7cdf63268048bb77611f638d,Tripterium TEB,TEB,Wrapped Ether,WETH,0x24429061fd8ae22c9dd0e498c0f1bbcb3732c4ef,Tripterium TEB,TEB,193,0x535cad4180edc8d5a80b11344cbfffc4a1c77e7a,65,44.60033012,0.002371353
2020-05-29,0xf1ff4c672dabf9aea4813dda6de66b860b0970b4,Bloom Token,BLT,Wrapped Ether,WETH,0x107c4504cd79c5d2696ea0030a8dd4e92601b82e,Bloom Token,BLT,4614,0xd4e3f10ef300931a969923a218c01a6fa682c91c,4598,282361.8543,6.980022905
2020-05-29,0x5b9b269134dbbb611e149913c287810f24978cc3,ESTONN,ESTN,Wrapped Ether,WETH,0x997080b8ee7d75fba23f3ec794df99da646c87ec,ESTONN,ESTN,29,0x88494baddb03fbab7504df74837fd4e9d68702b1,29,5.6e-13,3e-18
2020-05-29,0x3d2d3c4446e8a82445418523b9b5b376765e55a8,SingularityNET Token,AGI,Wrapped Ether,WETH,0x8eb24319393716668d768dcec29356ae9cffe285,SingularityNET Token,AGI,30513,0x9b9de0c3bb10a7593e1c17036268b4dd4f3c81e1,28408,831051.4724,12.85307472
2020-05-29,0x59f96b8571e3b11f859a09eaf5a790a138fc64d0,Statera,STA,Wrapped Ether,WETH,0xa7de087329bfcda5639247f96140f9dabe3deed1,Statera,STA,74140,0x43189898d712df36d37c41d2897843482f729c65,67160,2506644.96,24.78227938
2020-05-29,0x81fbef4704776cc5bba0a5df3a90056d2c6900b3,Wrapped Ether,WETH,renBTC,renBTC,0xeb4c2781e4eba804ce9a9803c67d0893436bb27d,renBTC,renBTC,43185,0xfe45ab17919759cfa2ce35215ead5ca4d1fc73c7,39872,25.0731638,368.7437739
2020-05-29,0x4a3fbad5ce3f23a7594f462b0970e46b0ef9cf13,Atomic Wallet Token,AWC,Wrapped Ether,WETH,0xad22f63404f7305e4713ccbd4f296f34770513f4,Atomic Wallet Token,AWC,2871,0x3789743f51f133a76894659c63e7606f03c9227f,2871,51372.62424,19.54670472
